day,count_legit_0,count_fraud_1
2020-06-21,2018,10
2020-06-22,4066,12
2020-06-23,3899,0
2020-06-24,1831,15
2020-06-25,2062,5
2020-06-26,2346,11
2020-06-27,2348,12
2020-06-28,3414,8
2020-06-29,4107,22
2020-06-30,3834,38
2020-07-01,1851,3
2020-07-02,2030,2
2020-07-03,2262,14
2020-07-04,2329,9
2020-07-05,3480,14
2020-07-06,4128,16
2020-07-07,3904,8
2020-07-08,1758,10
2020-07-09,2164,6
2020-07-10,2384,9
2020-07-11,2319,20
2020-07-12,3399,21
2020-07-13,3946,8
2020-07-14,3876,5
2020-07-15,1853,3
2020-07-16,2045,0
2020-07-17,2309,0
2020-07-18,2290,12
2020-07-19,3413,32
2020-07-20,4041,26
2020-07-21,3885,17
2020-07-22,1783,13
2020-07-23,2057,10
2020-07-24,2397,5
2020-07-25,2274,4
2020-07-26,3393,13
2020-07-27,3962,7
2020-07-28,3861,10
2020-07-29,1827,0
2020-07-30,2028,12
2020-07-31,2279,12
2020-08-01,2295,5
2020-08-02,3440,16
2020-08-03,4046,28
2020-08-04,3832,20
2020-08-05,1769,8
2020-08-06,2102,17
2020-08-07,2292,38
2020-08-08,2352,27
2020-08-09,3478,10
2020-08-10,3972,9
2020-08-11,3806,22
2020-08-12,1860,17
2020-08-13,2066,17
2020-08-14,2247,5
2020-08-15,2188,3
2020-08-16,3306,5
2020-08-17,3930,5
2020-08-18,3813,11
2020-08-19,1906,2
2020-08-20,2163,18
2020-08-21,2330,12
2020-08-22,2268,8
2020-08-23,3302,13
2020-08-24,4018,17
2020-08-25,3719,27
2020-08-26,1824,15
2020-08-27,2031,20
2020-08-28,2286,10
2020-08-29,2304,0
2020-08-30,3322,6
2020-08-31,4077,4
2020-09-01,3828,13
2020-09-02,1487,9
2020-09-03,1762,6
2020-09-04,1890,19
2020-09-05,1873,23
2020-09-06,2678,12
2020-09-07,3245,14
2020-09-08,3038,18
2020-09-09,1471,8
2020-09-10,1791,9
2020-09-11,1959,7
2020-09-12,1892,3
2020-09-13,2800,13
2020-09-14,3212,10
2020-09-15,3122,6
2020-09-16,1453,12
2020-09-17,1656,16
2020-09-18,1884,7
2020-09-19,1933,0
2020-09-20,2695,2
2020-09-21,3146,5
2020-09-22,3048,11
2020-09-23,1474,20
2020-09-24,1660,25
2020-09-25,1861,16
2020-09-26,1892,6
2020-09-27,2738,20
2020-09-28,3182,14
2020-09-29,3023,8
2020-09-30,1500,8
2020-10-01,1682,5
2020-10-02,1907,5
2020-10-03,1880,16
2020-10-04,2748,40
2020-10-05,3146,31
2020-10-06,3044,16
2020-10-07,1503,14
2020-10-08,1596,14
2020-10-09,1901,4
2020-10-10,1919,7
2020-10-11,2719,14
2020-10-12,3191,10
2020-10-13,3013,6
2020-10-14,1543,17
2020-10-15,1667,27
2020-10-16,1893,20
2020-10-17,1859,17
2020-10-18,2690,19
2020-10-19,3197,3
2020-10-20,3066,0
2020-10-21,1520,0
2020-10-22,1632,4
2020-10-23,1944,5
2020-10-24,1774,15
2020-10-25,2690,38
2020-10-26,3222,4
2020-10-27,3107,10
2020-10-28,1533,5
2020-10-29,1629,4
2020-10-30,1901,1
2020-10-31,1848,13
2020-11-01,2700,16
2020-11-02,3123,4
2020-11-03,3143,8
2020-11-04,1479,16
2020-11-05,1621,19
2020-11-06,1815,8
2020-11-07,1897,5
2020-11-08,2717,12
2020-11-09,3364,7
2020-11-10,3153,13
2020-11-11,1533,3
2020-11-12,1615,8
2020-11-13,1864,13
2020-11-14,1811,6
2020-11-15,2706,6
2020-11-16,3194,6
2020-11-17,3097,0
2020-11-18,1451,9
2020-11-19,1670,15
2020-11-20,1822,21
2020-11-21,1811,7
2020-11-22,2648,3
2020-11-23,3204,8
2020-11-24,2985,4
2020-11-25,1471,17
2020-11-26,1632,29
2020-11-27,1811,23
2020-11-28,1788,8
2020-11-29,2686,0
2020-11-30,6530,0
2020-12-01,6193,11
2020-12-02,2975,16
2020-12-03,3260,4
2020-12-04,3677,8
2020-12-05,3771,14
2020-12-06,5379,18
2020-12-07,6495,11
2020-12-08,6135,29
2020-12-09,2960,14
2020-12-10,3447,4
2020-12-11,3772,21
2020-12-12,3622,19
2020-12-13,5391,9
2020-12-14,6389,11
2020-12-15,6037,13
2020-12-16,3000,12
2020-12-17,3417,13
2020-12-18,3827,3
2020-12-19,3698,7
2020-12-20,5427,4
2020-12-21,6380,10
2020-12-22,6116,7
2020-12-23,2941,0
2020-12-24,3285,0
2020-12-25,3649,0
2020-12-26,3769,0
2020-12-27,5347,0
2020-12-28,6321,0
2020-12-29,6205,0
2020-12-30,3018,0
2020-12-31,3377,0
