is_archetype,hour,n,fraud,fraud_rate
0,0,16780,155,0.009237187127532777
0,1,17045,137,0.008037547667937812
0,2,16843,143,0.008490173959508402
0,3,16834,164,0.009742188428181062
0,4,16777,14,0.0008344757703999523
0,5,16633,18,0.0010821860157518186
0,6,16766,12,0.0007157342240248121
0,7,16786,12,0.0007148814488264029
0,8,16623,10,0.0006015761294591831
0,9,16792,10,0.0005955216769890424
0,10,16748,11,0.0006567948411750657
0,11,16817,14,0.0008324909317952073
0,12,26093,9,0.0003449200935116698
0,13,26054,7,0.00026867275658248256
0,14,26217,5,0.00019071594766754396
0,15,26063,14,0.000537159958561946
0,16,26548,13,0.0004896790718698207
0,17,26075,12,0.00046021093000958775
0,18,26063,17,0.0006522656639680773
0,19,25959,11,0.0004237451365615008
0,20,26051,18,0.000690952362673218
0,21,26219,15,0.0005721041992448225
0,22,26221,290,0.011059837534800351
0,23,26540,261,0.009834212509419744
1,0,86,33,0.38372093023255816
1,1,99,32,0.32323232323232326
1,2,83,25,0.30120481927710846
1,3,99,30,0.30303030303030304
1,4,68,1,0.014705882352941176
1,5,65,2,0.03076923076923077
1,6,75,2,0.02666666666666667
1,7,47,4,0.0851063829787234
1,8,67,0,0.0
1,9,59,4,0.06779661016949153
1,10,60,1,0.016666666666666666
1,11,62,3,0.04838709677419355
1,12,65,8,0.12307692307692308
1,13,78,7,0.08974358974358974
1,14,83,9,0.10843373493975904
1,15,67,7,0.1044776119402985
1,16,80,8,0.1
1,17,65,4,0.06153846153846154
1,18,76,13,0.17105263157894737
1,19,70,13,0.18571428571428572
1,20,79,18,0.22784810126582278
1,21,67,12,0.1791044776119403
1,22,325,260,0.8
1,23,335,277,0.826865671641791
