is_archetype,weekday,n,fraud,fraud_rate
0,Friday,58887,202,0.003430298707694398
0,Monday,108400,208,0.001918819188191882
0,Saturday,58245,179,0.00307322516954245
0,Sunday,87367,226,0.002586789062231735
0,Thursday,52513,192,0.003656237503094472
0,Tuesday,103486,205,0.001980944282318381
0,Wednesday,46649,160,0.003429869879311454
1,Friday,270,95,0.35185185185185186
1,Monday,415,94,0.22650602409638554
1,Saturday,256,87,0.33984375
1,Sunday,384,148,0.3854166666666667
1,Thursday,281,117,0.41637010676156583
1,Tuesday,422,126,0.2985781990521327
1,Wednesday,232,106,0.45689655172413796
